number;group;p1;p2;p3;extra;final_type;ekp35;scenario;main_service;notify_count;notify_services
1010101;пожар на улице;на улице;мусор;открытое пламя;;пожар: мусор;пожар: мусор;MCHS;пожар: мусор;21;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГПБУ Мосэкомониторинг
1010102;;на улице;мусор;дым;;задымление: мусор;пожар: мусор;MCHS;пожар: мусор;18;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны | ГПБУ Мосэкомониторинг
1010201;;на улице;Трава;открытое пламя;;пожар: трава;пожар: трава, пух;MCHS;пожар: трава, пух;19;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны
1010202;;на улице;Трава;дым;;задымление: трава;пожар: трава, пух;MCHS;пожар: трава, пух;17;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны
1010301;;на улице;Пух;открытое пламя;;пожар: пух;пожар: трава, пух;MCHS;пожар: трава, пух;20;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ООО Ситиэнерго
1010302;;на улице;Пух;дым;;задымление: пух;пожар: трава, пух;MCHS;пожар: трава, пух;17;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны
1010401;;на улице;Парк;открытое пламя;;пожар: парк;пожар: лесопосадки;MCHS;пожар: лесопосадки;23;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГПБУ Мосэкомониторинг
1010402;;на улице;Парк;дым;;задымление: парк;пожар: лесопосадки;MCHS;пожар: лесопосадки;19;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны | ГПБУ Мосэкомониторинг
1010501;;на улице;Лес;открытое пламя;;пожар: лес;пожар: лесопосадки;MCHS;пожар: лесопосадки;21;Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны | ГПБУ Мосэкомониторинг
1010502;;на улице;Лес;дым;;задымление: лес;пожар: лесопосадки;MCHS;пожар: лесопосадки;19;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны | ГПБУ Мосэкомониторинг
1010601;;на улице;торф;открытое пламя;;пожар: торф;пожар: торф;MCHS;пожар: торф;21;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ГПБУ Мосэкомониторинг
1010602;;на улице;торф;дым;;задымление: торф;пожар: торф;MCHS;пожар: торф;17;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Гор. Хозяйство | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ГПБУ Мосэкомониторинг
1010701;;на улице;Мачта освещения;открытое пламя;;пожар: мачта освещения;пожар: электрические сети;MCHS;пожар: электрические сети;21;Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ОЭК | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны
1010702;;на улице;Мачта освещения;дым;;задымление: мачта освещения;пожар: электрические сети;MCHS;пожар: электрические сети;19;Классификатор МЧС | Классификатор МВД | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ОЭК | Аппарат МЭРА | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ГУП МСР | ЦУКБ Министерство обороны
1010801;;на улице;опора контактной сети;открытое пламя;;пожар: опора контактной сети;НЕТ в ЕКП;MCHS;пожар: электрические сети;20;Классификатор МЧС | Классификатор МВД | Классификатор СМП | Классификатор МОСГАЗ | ЦЭМП | ЦЭМП | ЦЭМП | ЦЭМП | Мосгортранс | Гор. Хозяйство | ЦОДД | Аппарат МЭРА | ОАТИ | Территориальные ОИВ | Территориальные ОИВ    ТиНАО | Департамент культуры | ГКУ НТУ | ФСО | ГУП МСР | ЦУКБ Министерство обороны
